exchangeDate,buyCash,sellCash,sendRemit,receiveRemit,buyForeignCheck,exchangeRate,previousComparison,rateGap,usdConversionRate
2024-09-30,1342.69,1296.51,1332.5,1306.7,1304.25,1319.6,10.1,6.6941,1.0
2024-09-27,1352.96,1306.44,1342.7,1316.7,1314.23,1329.7,1.3,6.69544,1.0
2024-09-26,1351.64,1305.16,1341.4,1315.4,1312.93,1328.4,5.9,6.70528,1.0
2024-09-25,1357.65,1310.95,1347.3,1321.3,1318.82,1334.3,1.2,6.70447,1.0
2024-09-24,1358.87,1312.13,1348.5,1322.5,1320.02,1335.5,5.6,6.70478,1.0
2024-09-23,1353.17,1306.63,1342.9,1316.9,1314.43,1329.9,1.9,6.70722,1.0
2024-09-20,1355.1,1308.5,1344.8,1318.8,1316.3,1331.8,0.8,6.76991,1.0
2024-09-19,1354.29,1307.71,1344.0,1318.0,1315.49,1331.0,8.6,6.81086,1.0
2024-09-13,1363.04,1316.16,1352.7,1326.5,1323.92,1339.6,0.7,6.94651,1.0
2024-09-12,1363.75,1316.85,1353.4,1327.2,1324.62,1340.3,4.0,6.94592,1.0
2024-09-11,1367.82,1320.78,1357.4,1331.2,1328.61,1344.3,4.8,6.96077,1.0
2024-09-10,1362.94,1316.06,1352.6,1326.4,1323.82,1339.5,9.1,6.95393,1.0
2024-09-09,1353.68,1307.12,1343.4,1317.4,1314.83,1330.4,5.4,6.95984,1.0
2024-09-06,1359.17,1312.43,1348.8,1322.8,1320.22,1335.8,6.2,6.968,1.0
2024-09-05,1365.48,1318.52,1355.1,1328.9,1326.29,1342.0,1.0,7.01249,1.0
2024-09-04,1364.46,1317.54,1354.1,1327.9,1325.29,1341.0,2.2,7.02395,1.0
2024-09-03,1362.22,1315.38,1351.9,1325.7,1323.09,1338.8,4.0,7.04535,1.0
2024-09-02,1358.15,1311.45,1347.8,1321.8,1319.19,1334.8,0.5,7.04535,1.0
2024-08-30,1358.66,1311.94,1348.3,1322.3,1319.69,1335.3,0.6,7.05055,1.0
2024-08-29,1358.05,1311.35,1347.7,1321.7,1319.08,1334.7,4.3,7.09674,1.0
2024-08-28,1353.68,1307.12,1343.4,1317.4,1314.78,1330.4,6.5,7.10213,1.0
2024-08-27,1347.06,1300.74,1336.8,1311.0,1308.4,1323.9,16.2,7.10163,1.0
2024-08-26,1363.55,1316.65,1353.2,1327.0,1324.35,1340.1,4.2,7.12601,1.0
2024-08-23,1359.27,1312.53,1348.9,1322.9,1320.26,1335.9,3.5,7.12795,1.0
2024-08-22,1355.71,1309.09,1345.4,1319.4,1316.76,1332.4,0.4,7.15858,1.0
2024-08-21,1355.31,1308.69,1345.0,1319.0,1316.36,1332.0,5.8,7.16145,1.0
2024-08-20,1361.21,1314.39,1350.9,1324.7,1322.05,1337.8,22.3,7.16017,1.0
2024-08-19,1383.9,1336.3,1373.4,1346.8,1344.09,1360.1,1.3,7.18568,1.0
2024-08-16,1385.22,1337.58,1374.7,1348.1,1345.39,1361.4,8.9,7.19157,1.0
2024-08-14,1394.28,1346.32,1383.7,1356.9,1354.17,1370.3,2.6,7.18689,1.0
2024-08-13,1391.63,1343.77,1381.1,1354.3,1351.58,1367.7,1.7,7.18777,1.0
2024-08-12,1393.36,1345.44,1382.8,1356.0,1353.27,1369.4,8.3,7.18352,1.0
2024-08-09,1401.8,1353.6,1391.2,1364.2,1361.46,1377.7,1.3,7.17666,1.0
2024-08-08,1400.48,1352.32,1389.8,1363.0,1360.26,1376.4,4.2,7.17501,1.0
2024-08-07,1396.21,1348.19,1385.6,1358.8,1356.08,1372.2,11.6,7.13952,1.0
2024-08-06,1384.41,1336.79,1373.9,1347.3,1344.59,1360.6,12.2,7.1774,1.0
2024-08-05,1396.82,1348.78,1386.2,1359.4,1356.66,1372.8,6.9,7.20204,1.0
2024-08-02,1389.8,1342.0,1379.2,1352.6,1349.87,1365.9,14.2,7.20025,1.0
2024-08-01,1404.25,1355.95,1393.6,1366.6,1363.85,1380.1,4.5,7.19255,1.0
2024-07-31,1408.83,1360.37,1398.1,1371.1,1368.34,1384.6,2.6,7.19233,1.0
2024-07-30,1406.18,1357.82,1395.5,1368.5,1365.74,1382.0,3.4,7.19371,1.0
2024-07-29,1409.64,1361.16,1398.9,1371.9,1369.14,1385.4,0.0,7.1967,1.0
2024-07-26,1409.64,1361.16,1398.9,1371.9,1369.14,1385.4,0.3,7.19712,1.0
2024-07-25,1409.33,1360.87,1398.6,1371.6,1368.84,1385.1,0.0,7.19926,1.0
2024-07-24,1409.33,1360.87,1398.6,1371.6,1368.84,1385.1,3.5,7.19958,1.0
2024-07-23,1412.9,1364.3,1402.2,1375.0,1372.23,1388.6,2.0,7.1995,1.0
